Date/Time	08.06.15	11	54	5	Sample	1045_Steel	10.1	mm
Operator	MRS	Reference	-----	0	mm			
Laboratory	NIST	Atmosphere	He	20	l/h			
Comment	Run	to	-10C	Zero	Piston	None		
20150608_1045-RMon	Jun	8	11	54	5	2015		
								
Mon	Jun	8	11	54	5	2015		
								
Data	Source	ADIDI						
File	Type	PROBE						
Channels	5							
1	Time							
Sensor	Type	Clock						
Sensor	Range	0	10	s				
User	Range	0	10	s				
Minimum	0	s						
Maximum	1128.201	s						
2	Temperature							
Sensor	Type	Type-K						
Sensor	Range	0	1500	°C				
User	Range	0	1500	°C				
Minimum	-3	°C						
Maximum	850.3	°C						
3	Delta-L							
Sensor	Type	Dilatometerµm						
Sensor	Range	-24.9	24.9	µm				
User	Range	-24.9	24.9	µm				
Minimum	-24.984	µm						
Maximum	220.948	µm						
4	Set	value						
Sensor	Type	Generator						
Sensor	Range	0	1500	°C				
User	Range	0	1500	°C				
Minimum	-10.2	°C						
Maximum	850	°C						
5	Power							
Sensor	Type	Controller						
Sensor	Range	-100	100	%				
User	Range	-100	100	%				
Minimum	-99.997	%						
Maximum	26.785	%						
5	850	900						
200	-10	60						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
0	0	0						
								
None								
-----								
08.06.15								
0:00:00	54	5	AM					
MRS								
NIST								
Run	to	-10C						
He								
1045_Steel								
10.1								
0								
20								
PROBE								
	0.001	30.7	0	30.7	0			
	0.011	30.7	-0.0912	30.7	0.7629			
	0.021	30.6	-0.059	30.7	0.7629			
	0.031	30.6	-0.1166	30.8	0.9003			
	0.041	30.7	-0.0422	30.8	0.8301			
	0.051	30.7	0.0036	30.9	0.9033			
	0.061	30.7	0.0186	30.9	0.9033			
	0.071	30.7	-0.01	31	0.9705			
	0.081	30.7	0.0089	31	0.9705			
	0.091	30.7	-0.0007	31.1	1.0406			
	0.101	30.7	-0.0172	31.1	1.0406			
	0.111	30.7	-0.0386	31.2	1.1108			
	0.121	30.7	0.0304	31.2	1.1108			
	0.131	30.7	-0.0229	31.3	1.181			
	0.141	30.7	0.0039	31.3	1.181			
	0.151	30.7	0.0476	31.4	1.2482			
	0.161	30.7	-0.0279	31.4	1.2482			
	0.171	30.7	-0.083	31.5	1.3245			
	0.181	30.7	-0.0926	31.5	1.3245			
	0.191	30.7	-0.0647	31.6	1.3245			
	0.201	30.8	-0.1216	31.6	1.3916			
	0.211	30.8	-0.1134	31.7	1.3947			
	0.221	30.7	-0.0093	31.7	1.4648			
	0.231	30.8	-0.0908	31.8	1.4648			
	0.241	30.8	-0.1316	31.8	1.4648			
	0.251	30.8	-0.0658	31.9	1.532			
	0.261	30.8	0.0107	31.9	1.532			
	0.271	30.8	-0.0443	32	1.6052			
	0.281	30.8	0.0057	32	1.6052			
	0.291	30.9	-0.0994	32.1	1.6052			
